dataset,policy,block,markets,wins,losses,net_pnl_cents
current,book_margin_baseline,1,20,12,8,-123.0
current,book_margin_baseline,2,20,14,6,59.0
current,book_margin_baseline,3,20,15,5,139.0
current,book_margin_baseline,4,20,16,4,274.0
current,book_margin_baseline,5,20,12,8,-117.0
current,book_margin_baseline,6,20,12,8,-129.0
current,book_margin_baseline,7,20,16,4,220.0
current,book_margin_baseline,8,20,16,4,233.0
current,book_margin_baseline,9,20,14,6,73.0
current,book_margin_baseline,10,20,17,3,331.0
current,book_margin_baseline,11,20,12,8,-171.0
current,book_margin_baseline,12,20,12,8,-160.0
current,book_margin_baseline,13,20,16,4,227.0
current,book_margin_baseline,14,20,17,3,318.0
current,book_margin_baseline,15,20,12,8,-183.0
current,book_margin_baseline,16,17,12,5,49.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,1,20,13,7,55.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,2,20,14,6,136.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,4,20,16,4,318.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,5,20,11,9,-93.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,7,20,15,5,176.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,8,20,13,7,15.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,9,20,13,7,7.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,10,20,14,6,59.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,13,20,13,7,-24.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,15,20,10,10,-324.0
current,touch_preempt_book0.65_touch0.35_ask55_age180,16,17,12,5,118.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,1,20,13,7,55.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,2,20,15,5,253.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,4,20,17,3,425.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,5,20,10,10,-185.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,7,20,15,5,176.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,8,20,13,7,15.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,9,20,13,7,7.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,10,20,14,6,59.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,13,20,13,7,-24.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,15,20,10,10,-324.0
current,touch_preempt_book0.65_touch0.35_ask55_age300,16,17,12,5,118.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,1,20,13,7,55.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,2,20,15,5,253.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,4,20,17,3,425.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,5,20,10,10,-185.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,7,20,15,5,176.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,8,20,13,7,15.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,9,20,13,7,7.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,10,20,14,6,59.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,13,20,13,7,-24.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,15,20,10,10,-324.0
current,touch_preempt_book0.65_touch0.35_ask55_age600,16,17,12,5,118.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,1,20,13,7,50.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,2,20,15,5,231.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,4,20,16,4,327.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,5,20,11,9,-93.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,7,20,14,6,78.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,8,20,13,7,13.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,9,20,12,8,-92.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,10,20,14,6,56.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,13,20,13,7,-25.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,15,20,11,9,-220.0
current,touch_preempt_book0.65_touch0.35_ask60_age180,16,17,11,6,22.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,1,20,13,7,50.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,2,20,16,4,348.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,4,20,16,4,327.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,5,20,10,10,-185.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,7,20,14,6,78.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,8,20,13,7,13.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,9,20,12,8,-92.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,10,20,14,6,56.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,13,20,13,7,-25.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,15,20,11,9,-220.0
current,touch_preempt_book0.65_touch0.35_ask60_age300,16,17,11,6,22.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,1,20,13,7,50.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,2,20,16,4,348.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,4,20,16,4,327.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,5,20,10,10,-185.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,7,20,14,6,78.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,8,20,13,7,13.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,9,20,12,8,-92.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,10,20,14,6,56.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,11,20,12,8,-139.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,12,20,10,10,-280.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,13,20,13,7,-25.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,14,20,16,4,257.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,15,20,11,9,-220.0
current,touch_preempt_book0.65_touch0.35_ask60_age600,16,17,11,6,22.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,1,20,13,7,50.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,2,20,15,5,231.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,3,20,14,6,51.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,4,20,16,4,327.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,5,20,11,9,-93.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,6,20,10,10,-283.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,7,20,14,6,78.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,8,20,13,7,13.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,9,20,12,8,-92.0
current,touch_preempt_book0.65_touch0.35_ask70_age180,10,20,14,6,56.0
