dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin_locked_equiv,split=holdout,63,46,17,0.7301587301587301,255.0,4.0476190476190474,65.0,-2.5
current,book_margin_locked_equiv,split=train,186,132,54,0.7096774193548387,741.0,3.9838709677419355,63.0,-2.5
current,book_margin_locked_equiv,split=validation,63,43,20,0.6825396825396826,-11.0,-0.1746031746031746,65.0,-2.5
current,book_margin_locked_equiv,side=no,159,113,46,0.710691823899371,525.0,3.30188679245283,64.0,-2.5
current,book_margin_locked_equiv,side=yes,153,108,45,0.7058823529411765,460.0,3.0065359477124183,64.0,-2.5
current,book_margin_locked_equiv,"score=(-1.001, 0.625]",143,99,44,0.6923076923076923,785.0,5.489510489510489,62.0,-2.5
current,book_margin_locked_equiv,"score=(0.625, 0.65]",60,34,26,0.5666666666666667,-592.0,-9.866666666666667,64.0,-2.5
current,book_margin_locked_equiv,"score=(0.65, 0.7]",63,48,15,0.7619047619047619,389.0,6.174603174603175,68.0,-2.5
current,book_margin_locked_equiv,"score=(0.7, 0.8]",39,34,5,0.8717948717948718,397.0,10.179487179487179,75.0,-2.5
current,book_margin_locked_equiv,"edge=(-3.0, 0.0]",262,191,71,0.7290076335877863,1355.0,5.17175572519084,64.0,-2.5
current,book_margin_locked_equiv,"edge=(-5.0, -3.0]",50,30,20,0.6,-370.0,-7.4,64.0,-3.0
current,book_margin_locked_equiv,"ask=(60.0, 70.0]",266,181,85,0.6804511278195489,582.0,2.18796992481203,63.0,-2.5
current,book_margin_locked_equiv,"ask=(70.0, 80.0]",39,34,5,0.8717948717948718,397.0,10.179487179487179,75.0,-2.5
current,book_margin_locked_equiv,"time=(-1.001, 600.0]",20,15,5,0.75,143.0,7.15,64.0,-2.5
current,book_margin_locked_equiv,"time=(600.0, 720.0]",43,30,13,0.6976744186046512,82.0,1.9069767441860466,64.0,-2.5
current,book_margin_locked_equiv,"time=(720.0, 840.0]",168,126,42,0.75,1242.0,7.392857142857143,64.0,-2.5
current,book_margin_locked_equiv,"time=(840.0, 10000.0]",81,50,31,0.6172839506172839,-482.0,-5.950617283950617,64.0,-2.5
current,score_min60_locked_equiv,split=holdout,63,47,16,0.746031746031746,81.0,1.2857142857142858,71.0,-6.470719631020685
current,score_min60_locked_equiv,split=train,185,140,45,0.7567567567567568,895.0,4.837837837837838,68.0,-3.428141344580908
current,score_min60_locked_equiv,split=validation,63,48,15,0.7619047619047619,259.0,4.111111111111111,69.0,-5.5497672033693135
current,score_min60_locked_equiv,side=no,153,117,36,0.7647058823529411,738.0,4.823529411764706,69.0,-3.7812586262119083
current,score_min60_locked_equiv,side=yes,158,118,40,0.7468354430379747,497.0,3.1455696202531644,68.0,-4.342763420614048
current,score_min60_locked_equiv,"score=(-1.001, 0.625]",119,86,33,0.7226890756302521,544.0,4.571428571428571,63.0,-3.616035218073982
current,score_min60_locked_equiv,"score=(0.625, 0.65]",57,41,16,0.7192982456140351,113.0,1.9824561403508771,68.0,-5.184923423608836
current,score_min60_locked_equiv,"score=(0.65, 0.7]",82,63,19,0.7682926829268293,324.0,3.951219512195122,69.5,-3.969733350310783
current,score_min60_locked_equiv,"score=(0.7, 0.8]",48,41,7,0.8541666666666666,305.0,6.354166666666667,76.5,-3.7181172476798565
current,score_min60_locked_equiv,"edge=(-200.001, -5.0]",132,99,33,0.75,-34.0,-0.25757575757575757,72.0,-9.08578729053658
current,score_min60_locked_equiv,"edge=(-3.0, 0.0]",109,80,29,0.7339449541284404,539.0,4.944954128440367,65.0,-2.5
current,score_min60_locked_equiv,"edge=(-5.0, -3.0]",70,56,14,0.8,730.0,10.428571428571429,67.0,-3.543723244896942
current,score_min60_locked_equiv,"ask=(60.0, 70.0]",190,136,54,0.7157894736842105,786.0,4.136842105263158,65.0,-3.0
current,score_min60_locked_equiv,"ask=(70.0, 80.0]",101,84,17,0.8316831683168316,669.0,6.623762376237623,74.0,-8.45462034078183
current,score_min60_locked_equiv,"ask=(80.0, 90.0]",17,12,5,0.7058823529411765,-239.0,-14.058823529411764,83.0,-10.18983297922938
current,score_min60_locked_equiv,"time=(-1.001, 600.0]",56,42,14,0.75,113.0,2.017857142857143,71.0,-4.818790028949465
current,score_min60_locked_equiv,"time=(600.0, 720.0]",72,59,13,0.8194444444444444,718.0,9.972222222222221,69.0,-4.122569117304522
current,score_min60_locked_equiv,"time=(720.0, 840.0]",167,123,44,0.7365269461077845,386.0,2.311377245508982,68.0,-3.616035218073982
current,score_min60_locked_equiv,"time=(840.0, 10000.0]",16,11,5,0.6875,18.0,1.125,63.5,-3.473840154034871
current,book_skip_score_lt65_ask_ge70,split=holdout,63,46,17,0.7301587301587301,255.0,4.0476190476190474,65.0,-2.5
current,book_skip_score_lt65_ask_ge70,split=train,186,132,54,0.7096774193548387,741.0,3.9838709677419355,63.0,-2.5
current,book_skip_score_lt65_ask_ge70,split=validation,63,43,20,0.6825396825396826,-11.0,-0.1746031746031746,65.0,-2.5
current,book_skip_score_lt65_ask_ge70,side=no,159,113,46,0.710691823899371,525.0,3.30188679245283,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,side=yes,153,108,45,0.7058823529411765,460.0,3.0065359477124183,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"score=(-1.001, 0.625]",143,99,44,0.6923076923076923,785.0,5.489510489510489,62.0,-2.5
current,book_skip_score_lt65_ask_ge70,"score=(0.625, 0.65]",60,34,26,0.5666666666666667,-592.0,-9.866666666666667,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"score=(0.65, 0.7]",63,48,15,0.7619047619047619,389.0,6.174603174603175,68.0,-2.5
current,book_skip_score_lt65_ask_ge70,"score=(0.7, 0.8]",39,34,5,0.8717948717948718,397.0,10.179487179487179,75.0,-2.5
current,book_skip_score_lt65_ask_ge70,"edge=(-3.0, 0.0]",262,191,71,0.7290076335877863,1355.0,5.17175572519084,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"edge=(-5.0, -3.0]",50,30,20,0.6,-370.0,-7.4,64.0,-3.0
current,book_skip_score_lt65_ask_ge70,"ask=(60.0, 70.0]",266,181,85,0.6804511278195489,582.0,2.18796992481203,63.0,-2.5
current,book_skip_score_lt65_ask_ge70,"ask=(70.0, 80.0]",39,34,5,0.8717948717948718,397.0,10.179487179487179,75.0,-2.5
current,book_skip_score_lt65_ask_ge70,"time=(-1.001, 600.0]",20,15,5,0.75,143.0,7.15,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"time=(600.0, 720.0]",43,30,13,0.6976744186046512,82.0,1.9069767441860466,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"time=(720.0, 840.0]",168,126,42,0.75,1242.0,7.392857142857143,64.0,-2.5
current,book_skip_score_lt65_ask_ge70,"time=(840.0, 10000.0]",81,50,31,0.6172839506172839,-482.0,-5.950617283950617,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,split=holdout,63,46,17,0.7301587301587301,253.0,4.015873015873016,65.0,-2.5
current,book_skip_score_lt70_ask_ge70,split=train,186,132,54,0.7096774193548387,743.0,3.9946236559139785,63.0,-2.5
current,book_skip_score_lt70_ask_ge70,split=validation,63,43,20,0.6825396825396826,-16.0,-0.25396825396825395,65.0,-2.5
current,book_skip_score_lt70_ask_ge70,side=no,159,113,46,0.710691823899371,521.0,3.2767295597484276,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,side=yes,153,108,45,0.7058823529411765,459.0,3.0,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,"score=(-1.001, 0.625]",143,99,44,0.6923076923076923,785.0,5.489510489510489,62.0,-2.5
current,book_skip_score_lt70_ask_ge70,"score=(0.625, 0.65]",60,34,26,0.5666666666666667,-592.0,-9.866666666666667,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,"score=(0.65, 0.7]",59,44,15,0.7457627118644068,282.0,4.779661016949152,68.0,-2.5
current,book_skip_score_lt70_ask_ge70,"score=(0.7, 0.8]",43,38,5,0.8837209302325582,499.0,11.604651162790697,75.0,-2.5
current,book_skip_score_lt70_ask_ge70,"edge=(-3.0, 0.0]",261,190,71,0.7279693486590039,1324.0,5.0727969348659006,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,"edge=(-5.0, -3.0]",51,31,20,0.6078431372549019,-344.0,-6.745098039215686,64.0,-3.0
current,book_skip_score_lt70_ask_ge70,"ask=(60.0, 70.0]",262,177,85,0.6755725190839694,475.0,1.8129770992366412,63.0,-2.5
current,book_skip_score_lt70_ask_ge70,"ask=(70.0, 80.0]",43,38,5,0.8837209302325582,499.0,11.604651162790697,75.0,-2.5
current,book_skip_score_lt70_ask_ge70,"time=(-1.001, 600.0]",20,15,5,0.75,143.0,7.15,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,"time=(600.0, 720.0]",43,30,13,0.6976744186046512,78.0,1.813953488372093,64.0,-2.5
current,book_skip_score_lt70_ask_ge70,"time=(720.0, 840.0]",168,126,42,0.75,1246.0,7.416666666666667,64.0,-2.5
