dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive,coverage_pass,positive_and_coverage
current,book_margin_locked_equiv,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_margin_locked_equiv,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_margin_locked_equiv,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_margin_locked_equiv,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_margin_locked_equiv,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_margin_locked_equiv,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_margin_locked_equiv,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,True
current,book_margin_locked_equiv,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_margin_locked_equiv,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_margin_locked_equiv,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_margin_locked_equiv,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_margin_locked_equiv,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_margin_locked_equiv,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_margin_locked_equiv,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_margin_locked_equiv,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_margin_locked_equiv,15,14,14,1.0,10,4,0.7142857142857143,44.0,0.04602510460251046,True,True,True
current,score_min60_locked_equiv,0,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,False,True,False
current,score_min60_locked_equiv,1,20,20,1.0,16,4,0.8,211.0,0.15190784737221022,True,True,True
current,score_min60_locked_equiv,2,20,19,0.95,15,4,0.7894736842105263,167.0,0.12528132033008252,True,True,True
current,score_min60_locked_equiv,3,20,20,1.0,17,3,0.85,266.0,0.18549511854951187,True,True,True
current,score_min60_locked_equiv,4,20,20,1.0,13,7,0.65,-60.0,-0.04411764705882353,False,True,False
current,score_min60_locked_equiv,5,20,20,1.0,15,5,0.75,94.0,0.06685633001422475,True,True,True
current,score_min60_locked_equiv,6,20,20,1.0,15,5,0.75,28.0,0.019021739130434784,True,True,True
current,score_min60_locked_equiv,7,20,19,0.95,14,5,0.7368421052631579,6.0,0.00430416068866571,True,True,True
current,score_min60_locked_equiv,8,20,20,1.0,17,3,0.85,268.0,0.1871508379888268,True,True,True
current,score_min60_locked_equiv,9,20,19,0.95,18,1,0.9473684210526315,446.0,0.3293943870014771,True,True,True
current,score_min60_locked_equiv,10,20,20,1.0,14,6,0.7,-36.0,-0.025069637883008356,False,True,False
current,score_min60_locked_equiv,11,20,20,1.0,13,7,0.65,-147.0,-0.10158949550794748,False,True,False
current,score_min60_locked_equiv,12,20,20,1.0,17,3,0.85,255.0,0.17647058823529413,True,True,True
current,score_min60_locked_equiv,13,20,20,1.0,16,4,0.8,99.0,0.06595602931379081,True,True,True
current,score_min60_locked_equiv,14,20,20,1.0,12,8,0.6,-220.0,-0.15492957746478872,False,True,False
current,score_min60_locked_equiv,15,14,14,1.0,11,3,0.7857142857142857,55.0,0.05263157894736842,True,True,True
current,book_skip_score_lt65_ask_ge70,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_skip_score_lt65_ask_ge70,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_skip_score_lt65_ask_ge70,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True,True
current,book_skip_score_lt65_ask_ge70,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_skip_score_lt65_ask_ge70,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_skip_score_lt65_ask_ge70,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_skip_score_lt65_ask_ge70,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True,True
current,book_skip_score_lt65_ask_ge70,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_skip_score_lt65_ask_ge70,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True,True
current,book_skip_score_lt65_ask_ge70,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,True
current,book_skip_score_lt65_ask_ge70,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_skip_score_lt65_ask_ge70,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_skip_score_lt65_ask_ge70,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_skip_score_lt65_ask_ge70,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True,True
current,book_skip_score_lt65_ask_ge70,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_skip_score_lt65_ask_ge70,15,14,14,1.0,10,4,0.7142857142857143,44.0,0.04602510460251046,True,True,True
current,book_skip_score_lt70_ask_ge70,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True,False
current,book_skip_score_lt70_ask_ge70,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True,True
current,book_skip_score_lt70_ask_ge70,2,20,20,1.0,15,5,0.75,140.0,0.10294117647058823,True,True,True
current,book_skip_score_lt70_ask_ge70,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True,True
current,book_skip_score_lt70_ask_ge70,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,False
current,book_skip_score_lt70_ask_ge70,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True,False
current,book_skip_score_lt70_ask_ge70,6,20,20,1.0,16,4,0.8,218.0,0.1577424023154848,True,True,True
current,book_skip_score_lt70_ask_ge70,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,True
current,book_skip_score_lt70_ask_ge70,8,20,20,1.0,14,6,0.7,78.0,0.059001512859304085,True,True,True
current,book_skip_score_lt70_ask_ge70,9,20,19,0.95,15,4,0.7894736842105263,195.0,0.14942528735632185,True,True,True
current,book_skip_score_lt70_ask_ge70,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,False
current,book_skip_score_lt70_ask_ge70,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True,False
current,book_skip_score_lt70_ask_ge70,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True,True
current,book_skip_score_lt70_ask_ge70,13,20,20,1.0,17,3,0.85,283.0,0.19971771347918138,True,True,True
current,book_skip_score_lt70_ask_ge70,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True,False
current,book_skip_score_lt70_ask_ge70,15,14,14,1.0,10,4,0.7142857142857143,44.0,0.04602510460251046,True,True,True
current,book_skip_score625_65_ask60_80,0,20,20,1.0,13,7,0.65,-53.0,-0.03917220990391722,False,True,False
current,book_skip_score625_65_ask60_80,1,20,20,1.0,14,6,0.7,23.0,0.01670297748729121,True,True,True
current,book_skip_score625_65_ask60_80,2,20,20,1.0,16,4,0.8,232.0,0.1695906432748538,True,True,True
current,book_skip_score625_65_ask60_80,3,20,20,1.0,16,4,0.8,247.0,0.18255728011825573,True,True,True
current,book_skip_score625_65_ask60_80,4,20,20,1.0,12,8,0.6,-146.0,-0.10846953937592868,False,True,False
current,book_skip_score625_65_ask60_80,5,20,20,1.0,12,8,0.6,-134.0,-0.10044977511244378,False,True,False
current,book_skip_score625_65_ask60_80,6,20,20,1.0,16,4,0.8,205.0,0.14695340501792115,True,True,True
current,book_skip_score625_65_ask60_80,7,20,19,0.95,14,5,0.7368421052631579,80.0,0.06060606060606061,True,True,True
current,book_skip_score625_65_ask60_80,8,20,20,1.0,14,6,0.7,41.0,0.03016924208977189,True,True,True
