dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass
current,book_margin_baseline,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True
current,book_margin_baseline,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True
current,book_margin_baseline,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True
current,book_margin_baseline,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True
current,book_margin_baseline,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True
current,book_margin_baseline,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True
current,book_margin_baseline,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True
current,book_margin_baseline,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True
current,book_margin_baseline,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True
current,book_margin_baseline,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True
current,book_margin_baseline,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True
current,book_margin_baseline,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True
current,book_margin_baseline,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True
current,book_margin_baseline,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True
current,book_margin_baseline,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True
current,book_margin_baseline,15,14,14,1.0,10,4,0.7142857142857143,44.0,0.04602510460251046,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,0,20,20,1.0,13,7,0.65,32.0,0.025236593059936908,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,1,20,20,1.0,13,7,0.65,11.0,0.008533747090768037,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,2,20,20,1.0,13,7,0.65,-33.0,-0.024756189047261814,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,3,20,20,1.0,15,5,0.75,176.0,0.13293051359516617,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,4,20,20,1.0,11,9,0.55,-162.0,-0.12836767036450078,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,5,20,20,1.0,10,10,0.5,-284.0,-0.22118380062305296,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,7,20,19,0.95,15,4,0.7894736842105263,218.0,0.17004680187207488,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,8,20,20,1.0,14,6,0.7,102.0,0.07858243451463791,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,10,20,20,1.0,12,8,0.6,-145.0,-0.10780669144981413,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,11,20,20,1.0,12,8,0.6,-144.0,-0.10714285714285714,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,12,20,20,1.0,15,5,0.75,163.0,0.1219147344801795,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,14,20,20,1.0,8,12,0.4,-515.0,-0.3916349809885932,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age120,15,14,14,1.0,11,3,0.7857142857142857,154.0,0.16279069767441862,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,0,20,20,1.0,14,6,0.7,112.0,0.08695652173913043,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,1,20,20,1.0,13,7,0.65,26.0,0.02040816326530612,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,2,20,20,1.0,13,7,0.65,-33.0,-0.024756189047261814,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,3,20,20,1.0,15,5,0.75,176.0,0.13293051359516617,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,4,20,20,1.0,9,11,0.45,-325.0,-0.2653061224489796,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,5,20,20,1.0,10,10,0.5,-299.0,-0.23017705927636645,False,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,7,20,19,0.95,15,4,0.7894736842105263,224.0,0.1755485893416928,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,8,20,20,1.0,13,7,0.65,6.0,0.00463678516228748,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,9,20,19,0.95,14,5,0.7368421052631579,111.0,0.08611326609775019,True,True
current,preempt_brownian_p_rv_15m_book0.65_alt0.55_ask60_cheap0_age300,10,20,20,1.0,12,8,0.6,-147.0,-0.1091314031180401,False,True
