policy_id,policy_hash,policy_created_utc,status,primary_rows_after_policy_hash,diagnostic_rows_not_primary_credit,decision,reason
v28s_live_pnl_v28_boundary_abstention_v002,72c5a3308492baad1240df244176259c,,retired_diagnostic_underperformed_v28,0,15988,retire_and_replace,v002 matched regular v28 on the first primary forward market and lost money; scoring also revealed repeated per-candidate rows could overstate opportunity count
v28s_live_pnl_yes_residual_tilt_v003,a73acc599c08a24aa947d2e92105d1f9,,replace_required_failed_primary_forward_pnl,0,15988,retire_or_replace_before_next_forward_credit,"v003 produced positive delta versus regular v28 on its first settled live-forward market, but absolute primary net P&L was -6 cents"
v28s_live_pnl_preclose_yes_residual_tilt_v004,8e8c05685b02648ac0085d46cbb68e9e,,replace_required_failed_primary_forward_pnl,0,15988,retire_or_replace_before_next_forward_credit,v004 produced positive delta versus regular v28 but lost -41 cents absolute net P&L on two pre-five-minute cheap YES entries
v28s_live_pnl_mature_yes_residual_tilt_v005,05e6d861831d551c1f7a30cc79a2645b,,retired_no_entry_standdown_not_pnl_proof,0,15988,replace_for_more_active_existing_candidate,v005 avoided v28 losses but produced zero entries and zero absolute P&L across its first settled live-forward rows
v28s_live_pnl_no_monotonic_tabular_v006,e7101b160ec3584ae935c2e67dd1611c,,retired_no_entry_negative_delta,0,15988,replace_with_existing_light_boundary_no_surface,"v006 produced zero entries and 0c absolute P&L across its first 10 joined primary rows, but underperformed regular v28 by -16.9c by skipping two v28 NO winners"
v28s_live_pnl_boundary_light_no_v007,3353691227124e31f31a99d85a1fbe08,,retired_failed_primary_forward_pnl,0,15988,replace_with_opposing_yes_physics_veto,"v007 entered three post-hash NO rows in the 12:15Z market and lost all three, producing -197c net P&L with no delta versus regular v28"
v28s_live_pnl_boundary_light_no_yes_veto_v008,fcd2522f32fb964be1c73d05065bbddc,,retired_no_entry_negative_delta,0,15988,replace_with_lower_book_confirmation_veto,v008 produced zero entries across its first four joined primary rows and underperformed regular v28 by -28c because its 90c veto skipped two 12:45Z NO winners
v28s_live_pnl_boundary_light_no_yes_veto_v009,52348ef71e1632c84df63d85e131e391,,replace_required_failed_primary_forward_pnl,0,15988,retire_or_replace_before_next_forward_credit,"v009 entered one post-hash NO row at 29c with only 2.38c net edge and lost, leaving primary net P&L -31c and delta versus regular v28 -17.2c across five labeled primary rows"
v28s_live_pnl_boundary_light_no_strict_selective_v010,4f104f77a3241febdaa2abb3dbff7ffc,,replace_required_failed_primary_forward_delta,0,15988,replace_with_book_confirmed_late_high_ask_repair,v010 was positive absolute P&L at +15.6c but underperformed regular v28 by -7.3c after skipping a late 91.7c NO winner that v28 entered
v28s_live_pnl_boundary_light_book_confirmed_v011,eff64a606862ecb60a47d5003b8c4284,,replace_required_failed_primary_forward_pnl,0,15988,replace_no_loss_filter_with_yes_boundary_physics_entry,"v011 produced strong positive delta versus regular v28 by skipping a cluster of v28 NO losses, but its two actual post-hash primary NO entries both lost in the 15:00Z market, leaving absolute primary net P&L -73c despite +1076.6c delta versus v28"
v28s_live_pnl_yes_boundary_physics_reversal_v012,54444ab3221556f12d9155ab3c6ac81b,,replace_required_failed_primary_forward_pnl,0,15988,add_one_entry_per_market_loss_cluster_cap,"v012 entered six post-hash YES rows in its first market and lost all six, producing -124c net P&L and -124c delta versus regular v28; the failure was primarily repeated exposure to one false market-level signal, not six independent errors"
v28s_live_pnl_yes_boundary_physics_one_entry_v013,85c66e12bc23d6fbe6ea08cd34229636,,replace_required_cap_counted_pre_hash_diagnostic_rows,0,15988,fix_market_cap_to_ignore_pre_hash_rows,"v013 correctly added a one-entry-per-market cap, but the first capture showed a code-level evidence bug: pre-hash diagnostic rows in the same market consumed the cap and caused all post-hash primary rows to be skipped as market_entry_cap_reached"
v28s_live_pnl_yes_boundary_physics_one_entry_v014,da15088eaae5a2a480104fb794825135,,replace_required_failed_primary_forward_pnl,0,15988,replace_yes_physics_with_existing_book_reliability_no_surface,"v014 correctly limited exposure to one YES boundary-physics entry, but its first post-hash market still lost -20c net and -20c versus regular v28, confirming that the issue was not only repeated exposure but a false-positive surface in the fresh regime"
v28s_live_pnl_no_book_reliability_one_entry_v015,480e4638220b4ad8665bd71202705023,,replace_required_no_entry_negative_delta,0,15988,replace_with_capped_high_ask_v28_feature_policy,"v015 produced two finalized post-hash markets with 36 labeled primary rows, zero entries, zero absolute P&L, and -53c delta versus regular v28 after skipping profitable v28 NO entries"
v28s_live_pnl_v28_high_ask_no_one_entry_v016,b5a6dc41cd93755fcc0d1a87287dc511,,retired_no_entry_standdown_not_pnl_proof,0,15988,replace_loss_filter_with_complementary_yes_fade,"v016 produced three finalized post-hash markets with 53 labeled primary rows, zero entries, zero absolute P&L, and +831c delta versus regular v28 by avoiding cheap-NO loss clusters; useful filter behavior, but still no profit engine"
