chooser,min_score,ask_max,min_seconds_to_close,gate,label,coverage_pass,target_pass,nondegenerate_pass,min_test_accuracy,min_test_coverage,all_markets,all_wins,all_losses,all_base_markets,all_accuracy,all_coverage,all_median_ask,all_median_seconds_to_close,train_markets,train_wins,train_losses,train_base_markets,train_accuracy,train_coverage,train_median_ask,train_median_seconds_to_close,validation_markets,validation_wins,validation_losses,validation_base_markets,validation_accuracy,validation_coverage,validation_median_ask,validation_median_seconds_to_close,holdout_markets,holdout_wins,holdout_losses,holdout_base_markets,holdout_accuracy,holdout_coverage,holdout_median_ask,holdout_median_seconds_to_close
book_p_side,0.95,100.0,0.0,none,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=0,True,True,False,0.9836065573770492,1.0,304,298,6,307,0.9802631578947368,0.990228013029316,96.0,254.75549999999998,181,177,4,184,0.9779005524861878,0.9836956521739131,96.0,217.808,61,60,1,61,0.9836065573770492,1.0,96.0,303.63,62,61,1,62,0.9838709677419355,1.0,96.0,280.07399999999996
book_p_side,0.95,100.0,0.0,spread<=4,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=0; spread<=4,True,True,False,0.9836065573770492,1.0,304,298,6,307,0.9802631578947368,0.990228013029316,96.0,254.75549999999998,181,177,4,184,0.9779005524861878,0.9836956521739131,96.0,217.808,61,60,1,61,0.9836065573770492,1.0,96.0,303.63,62,61,1,62,0.9838709677419355,1.0,96.0,280.07399999999996
book_p_side,0.95,100.0,0.0,adverse15<=10_or_margin_rv15>=0.5,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=0; adverse15<=10_or_margin_rv15>=0.5,True,True,False,0.9836065573770492,0.9838709677419355,301,295,6,307,0.9800664451827242,0.9804560260586319,96.0,255.813,179,175,4,184,0.9776536312849162,0.9728260869565217,96.0,220.352,61,60,1,61,0.9836065573770492,1.0,96.0,296.93,61,60,1,62,0.9836065573770492,0.9838709677419355,96.0,284.364
book_p_side,0.95,100.0,0.0,brownian15>=0.55_and_brownian30>=0.55,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=0; brownian15>=0.55_and_brownian30>=0.55,True,True,False,0.9833333333333333,0.9836065573770492,300,294,6,307,0.98,0.9771986970684039,96.0,257.567,178,174,4,184,0.9775280898876404,0.967391304347826,96.0,221.44150000000002,60,59,1,61,0.9833333333333333,0.9836065573770492,96.0,303.71799999999996,62,61,1,62,0.9838709677419355,1.0,96.0,280.07399999999996
book_p_side,0.95,100.0,0.0,margin_rv15>=0,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=0; margin_rv15>=0,True,True,False,0.9833333333333333,0.9836065573770492,300,294,6,307,0.98,0.9771986970684039,96.0,257.567,178,174,4,184,0.9775280898876404,0.967391304347826,96.0,221.44150000000002,60,59,1,61,0.9833333333333333,0.9836065573770492,96.0,303.71799999999996,62,61,1,62,0.9838709677419355,1.0,96.0,280.07399999999996
score_min_book_rv15,0.95,100.0,0.0,none,choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec_to_close>=0,True,True,False,0.9827586206896551,0.9508196721311475,280,277,3,307,0.9892857142857143,0.9120521172638436,98.0,175.17649999999998,163,161,2,184,0.9877300613496932,0.8858695652173914,98.0,172.722,58,57,1,61,0.9827586206896551,0.9508196721311475,97.0,206.1705,59,59,0,62,1.0,0.9516129032258065,99.0,176.583
score_min_book_rv15,0.95,100.0,0.0,adverse15<=10_or_margin_rv15>=0.5,choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec_to_close>=0; adverse15<=10_or_margin_rv15>=0.5,True,True,False,0.9827586206896551,0.9508196721311475,280,277,3,307,0.9892857142857143,0.9120521172638436,98.0,175.17649999999998,163,161,2,184,0.9877300613496932,0.8858695652173914,98.0,172.722,58,57,1,61,0.9827586206896551,0.9508196721311475,97.0,206.1705,59,59,0,62,1.0,0.9516129032258065,99.0,176.583
score_min_book_rv15,0.95,100.0,0.0,brownian15>=0.55_and_brownian30>=0.55,choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec_to_close>=0; brownian15>=0.55_and_brownian30>=0.55,True,True,False,0.9827586206896551,0.9508196721311475,280,277,3,307,0.9892857142857143,0.9120521172638436,98.0,175.17649999999998,163,161,2,184,0.9877300613496932,0.8858695652173914,98.0,172.722,58,57,1,61,0.9827586206896551,0.9508196721311475,97.0,206.1705,59,59,0,62,1.0,0.9516129032258065,99.0,176.583
score_min_book_rv15,0.95,100.0,0.0,spread<=4,choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec_to_close>=0; spread<=4,True,True,False,0.9827586206896551,0.9508196721311475,280,277,3,307,0.9892857142857143,0.9120521172638436,98.0,175.17649999999998,163,161,2,184,0.9877300613496932,0.8858695652173914,98.0,172.722,58,57,1,61,0.9827586206896551,0.9508196721311475,97.0,206.1705,59,59,0,62,1.0,0.9516129032258065,99.0,176.583
score_min_book_rv15,0.95,100.0,0.0,margin_rv15>=0,choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec_to_close>=0; margin_rv15>=0,True,True,False,0.9827586206896551,0.9508196721311475,280,277,3,307,0.9892857142857143,0.9120521172638436,98.0,175.17649999999998,163,161,2,184,0.9877300613496932,0.8858695652173914,98.0,172.722,58,57,1,61,0.9827586206896551,0.9508196721311475,97.0,206.1705,59,59,0,62,1.0,0.9516129032258065,99.0,176.583
book_p_side,0.95,100.0,60.0,none,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=60,True,True,False,0.9827586206896551,0.9354838709677419,279,274,5,307,0.982078853046595,0.9087947882736156,96.0,282.142,163,160,3,184,0.9815950920245399,0.8858695652173914,96.0,245.476,58,57,1,61,0.9827586206896551,0.9508196721311475,96.0,308.23749999999995,58,57,1,62,0.9827586206896551,0.9354838709677419,96.0,286.2575
book_p_side,0.95,100.0,60.0,spread<=4,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=60; spread<=4,True,True,False,0.9827586206896551,0.9354838709677419,279,274,5,307,0.982078853046595,0.9087947882736156,96.0,282.142,163,160,3,184,0.9815950920245399,0.8858695652173914,96.0,245.476,58,57,1,61,0.9827586206896551,0.9508196721311475,96.0,308.23749999999995,58,57,1,62,0.9827586206896551,0.9354838709677419,96.0,286.2575
book_p_side,0.95,100.0,60.0,adverse15<=10_or_margin_rv15>=0.5,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=60; adverse15<=10_or_margin_rv15>=0.5,True,True,False,0.9824561403508771,0.9193548387096774,276,271,5,307,0.9818840579710145,0.8990228013029316,96.0,283.41200000000003,161,158,3,184,0.9813664596273292,0.875,96.0,245.476,58,57,1,61,0.9827586206896551,0.9508196721311475,96.0,308.1495,57,56,1,62,0.9824561403508771,0.9193548387096774,96.0,287.06
book_p_side,0.95,100.0,60.0,margin_rv15>=0,choose=book_p_side; book_p_side>=0.95; ask<=100; sec_to_close>=60; margin_rv15>=0,True,True,False,0.9818181818181818,0.9016393442622951,275,270,5,307,0.9818181818181818,0.8957654723127035,96.0,284.19,163,160,3,184,0.9815950920245399,0.8858695652173914,96.0,245.335,55,54,1,61,0.9818181818181818,0.9016393442622951,96.0,320.813,57,56,1,62,0.9824561403508771,0.9193548387096774,96.0,287.06
