dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass
current,baseline_book_margin,0,20,20,1.0,12,8,0.6,-123.0,-0.09297052154195011,False,True
current,baseline_book_margin,1,20,20,1.0,14,6,0.7,59.0,0.04399701715137957,True,True
current,baseline_book_margin,2,20,20,1.0,15,5,0.75,139.0,0.10213078618662748,True,True
current,baseline_book_margin,3,20,20,1.0,16,4,0.8,274.0,0.2066365007541478,True,True
current,baseline_book_margin,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True
current,baseline_book_margin,5,20,20,1.0,12,8,0.6,-129.0,-0.09706546275395034,False,True
current,baseline_book_margin,6,20,20,1.0,16,4,0.8,220.0,0.15942028985507245,True,True
current,baseline_book_margin,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True
current,baseline_book_margin,8,20,20,1.0,14,6,0.7,75.0,0.05660377358490566,True,True
current,baseline_book_margin,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True
current,baseline_book_margin,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True
current,baseline_book_margin,11,20,20,1.0,13,7,0.65,-73.0,-0.05316824471959213,False,True
current,baseline_book_margin,12,20,20,1.0,16,4,0.8,258.0,0.19225037257824143,True,True
current,baseline_book_margin,13,20,20,1.0,17,3,0.85,285.0,0.20141342756183744,True,True
current,baseline_book_margin,14,20,20,1.0,11,9,0.55,-260.0,-0.19117647058823528,False,True
current,baseline_book_margin,15,20,20,1.0,15,5,0.75,129.0,0.09409190371991247,True,True
current,baseline_book_margin,16,5,5,1.0,3,2,0.6,-41.0,-0.12023460410557185,False,True
v21,baseline_book_margin,0,20,19,0.95,16,3,0.8421052631578947,223.0,0.16194625998547568,True,True
v21,baseline_book_margin,1,20,20,1.0,11,9,0.55,-283.0,-0.20462762111352134,False,True
v21,baseline_book_margin,2,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,False,True
v21,baseline_book_margin,3,20,20,1.0,13,7,0.65,-84.0,-0.06069364161849711,False,True
v21,baseline_book_margin,4,20,20,1.0,14,6,0.7,32.0,0.023391812865497075,True,True
v21,baseline_book_margin,5,20,20,1.0,14,6,0.7,40.0,0.029411764705882353,True,True
v21,baseline_book_margin,6,20,20,1.0,17,3,0.85,343.0,0.2527634487840825,True,True
v21,baseline_book_margin,7,20,20,1.0,16,4,0.8,230.0,0.1678832116788321,True,True
v21,baseline_book_margin,8,20,20,1.0,10,10,0.5,-332.0,-0.24924924924924924,False,True
v21,baseline_book_margin,9,20,20,1.0,17,3,0.85,292.0,0.20738636363636365,True,True
v21,baseline_book_margin,10,20,19,0.95,14,5,0.7368421052631579,31.0,0.022644265887509132,True,True
v21,baseline_book_margin,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True
current,same_reprice_t0.35_ask55_age180,0,20,20,1.0,12,8,0.6,-13.0,-0.010717230008244023,False,True
current,same_reprice_t0.35_ask55_age180,1,20,20,1.0,14,6,0.7,130.0,0.10236220472440945,True,True
current,same_reprice_t0.35_ask55_age180,2,20,20,1.0,15,5,0.75,222.0,0.17370892018779344,True,True
current,same_reprice_t0.35_ask55_age180,3,20,20,1.0,16,4,0.8,347.0,0.27693535514764567,True,True
current,same_reprice_t0.35_ask55_age180,4,20,20,1.0,12,8,0.6,-17.0,-0.013968775677896467,False,True
current,same_reprice_t0.35_ask55_age180,5,20,20,1.0,12,8,0.6,-47.0,-0.03769045709703288,False,True
